4	3
6	5
8	7
10	9
12	11
14	13
16	15
18	17
20	19
22	21
24	23
26	25
28	27
30	29
32	30
32	30
32	30
32	30
32	30
32	30
32	30
32	30
32	30
32	30
32	30
32	30
32	30
32	31
34	32
34	32
34	32
34	32
34	32
34	32
34	32
34	32
34	32
34	32
34	32
34	32
34	32
34	33
36	34
36	34
36	34
36	34
36	34
36	34
36	34
36	34
36	34
36	34
36	34
36	34
36	34
36	35
38	36
38	36
38	36
38	36
38	36
38	36
38	36
38	36
38	36
38	36
38	36
38	36
38	36
38	37
40	38
40	38
40	38
40	38
40	38
40	38
40	38
40	38
40	38
40	38
40	38
40	38
40	38
40	39
42	40
42	40
42	40
42	40
42	40
42	40
42	40
42	40
42	40
42	40
42	40
42	40
42	40
42	41
44	42
44	42
44	42
44	42
44	42
44	42
44	42
44	42
44	42
44	42
44	42
44	42
44	42
44	43
46	44
46	44
46	44
46	44
46	44
46	44
46	44
46	44
46	44
46	44
46	44
46	44
46	44
46	45
48	46
48	46
48	46
48	46
48	46
48	46
48	46
48	46
48	46
48	46
48	46
48	46
48	46
48	47
50	48
50	48
50	48
50	48
50	48
50	48
50	48
50	48
50	48
50	48
50	48
50	48
50	48
50	49
52	50
52	50
52	50
52	50
52	50
52	50
52	50
52	50
52	50
52	50
52	50
52	50
52	50
52	51
54	52
54	52
54	52
54	52
54	52
54	52
54	52
54	52
54	52
54	52
54	52
54	52
54	52
54	53
56	54
56	54
56	54
56	54
56	54
56	54
56	54
56	54
56	54
56	54
56	54
56	54
56	54
56	55
58	56
58	56
58	56
58	56
58	56
58	56
58	56
58	56
58	56
58	56
58	56
58	56
58	56
58	57
60	58
60	58
60	58
60	58
60	58
60	58
60	58
60	58
60	58
60	58
60	58
60	58
60	58
60	59
62	60
62	60
62	60
62	60
62	60
62	60
62	60
62	60
62	60
62	60
62	60
62	60
62	60
62	61
64	62
64	62
64	62
64	62
64	62
64	62
64	62
64	62
64	62
64	62
64	62
64	62
64	62
64	63
66	64
66	64
66	64
66	64
66	64
66	64
66	64
66	64
66	64
66	64
66	64
66	64
66	64
66	65
